/Users/apple/code/open-source/my-projects/web3-practice/.venv/bin/python /Users/apple/code/open-source/my-projects/web3-practice/main.py

block_number=12965454, burn=2.28556429964720559
block_number=12965455, burn=0.135638793257756593
block_number=12965456, burn=2.279139644019004638
block_number=12965457, burn=0.116864386332582837
block_number=12965458, burn=1.306134729732763987
block_number=12965459, burn=1.759056586236451219
block_number=12965460, burn=1.292291047567335806
block_number=12965461, burn=1.253636021057731872
block_number=12965462, burn=0.41430761236024522
block_number=12965463, burn=0.924496824936471567
block_number=12965464, burn=1.061743624276394202
block_number=12965465, burn=0.644649462578155965
block_number=12965466, burn=0.720716673277579536
block_number=12965467, burn=2.016151259953222272
block_number=12965468, burn=0.355833582825586908
block_number=12965469, burn=1.780735024364263528
block_number=12965470, burn=0.115373401126981555
block_number=12965471, burn=2.007721680652044774
block_number=12965472, burn=0.413837949640055319
block_number=12965473, burn=0.89965671038378064
block_number=12965474, burn=0.730479459023450745
block_number=12965475, burn=1.433678373689626792
block_number=12965476, burn=0.753792162256020717
block_number=12965477, burn=1.027059738623143456
block_number=12965478, burn=0.689329226998233285
block_number=12965479, burn=1.941477584432286726
block_number=12965480, burn=1.719786701761685508
block_number=12965481, burn=0.708777931373584695
block_number=12965482, burn=2.214569886586645105
block_number=12965483, burn=1.53577721902950486
block_number=12965484, burn=0.086059297104918336
block_number=12965485, burn=1.819265658453130313
block_number=12965486, burn=0.638677037451755344
block_number=12965487, burn=1.197852320864585064
block_number=12965488, burn=1.454531650533718746
block_number=12965489, burn=0
block_number=12965490, burn=2.079343801766634554
block_number=12965491, burn=2.33609742421365582
block_number=12965492, burn=0.119534641236348868
block_number=12965493, burn=2.06693289573946938
block_number=12965494, burn=1.501808950544672655
block_number=12965495, burn=1.169535601298863678
block_number=12965496, burn=0.544039672350990716
block_number=12965497, burn=1.158137361514842345
block_number=12965498, burn=1.309585282976915532
block_number=12965499, burn=0.29733798414578335
block_number=12965500, burn=2.186209802136292964
block_number=12965501, burn=0.473427246624886523
block_number=12965502, burn=0.958732837516747836
block_number=12965503, burn=2.22390076643996964
block_number=12965504, burn=0.810227577989705584
block_number=12965505, burn=1.229078771846434007
block_number=12965506, burn=1.45549624407711168
block_number=12965507, burn=0.474777978829259652
block_number=12965508, burn=1.138654254571708476
block_number=12965509, burn=0.023519254018797654
block_number=12965510, burn=1.997435065780069528
block_number=12965511, burn=0.266127645830697432
block_number=12965512, burn=1.572343369021394073
block_number=12965513, burn=1.104495543430700865
block_number=12965514, burn=0.026804346275231194
block_number=12965515, burn=1.90581434613770036
block_number=12965516, burn=0.885027648136214236
block_number=12965517, burn=0.650570676640611405
block_number=12965518, burn=0.560999502443454256
block_number=12965519, burn=0.5640442551769263
block_number=12965520, burn=1.736182256477611084
block_number=12965521, burn=0.365135821425919347
block_number=12965522, burn=0.75444221376777345
block_number=12965523, burn=0.134115483027835322
block_number=12965524, burn=1.61447376087477337
block_number=12965525, burn=0.778008874075122762
block_number=12965526, burn=0.068468435882203632
block_number=12965527, burn=1.582195413003428928
block_number=12965528, burn=0.489901034948014452
block_number=12965529, burn=1.31895706120243127
block_number=12965530, burn=0.500577389702177908
block_number=12965531, burn=0.630263555086424655
block_number=12965532, burn=1.65132904368992751
block_number=12965533, burn=0.569689473072979066
